Item type,Authors,Title,Journal,Full journal,Publication year,Volume,Issue,Pages,Free_access OR gated?,Publisher,Date published,ISSN,ISSN (alt.),URLs,DOI,PMID,Arxiv ID,PMC ID,Copyright,Affiliation,Sub-type,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Jing Q,Pace A,Ives L,Husmann A,Ćatić N,Khanduja V,Cama J,Kar-Narayan S","Aerosol-jet-printed, conformable microfluidic force sensors",Cell Rep Phys Sci,Cell reports. Physical science,2021,2,4,100386,free_access,Elsevier,21/04/2021,2666-3864,,http://dx.doi.org/10.1016/j.xcrp.2021.100386;https://www.ncbi.nlm.nih.gov/pubmed/33928263;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8063179;https://linkinghub.elsevier.com/retrieve/pii/S2666-3864(21)00076-X;https://www.sciencedirect.com/science/article/pii/S266638642100076X,10.1016/j.xcrp.2021.100386,33928263,,PMC8063179,,"Department of Materials Science & Metallurgy, University of Cambridge, 27 Charles Babbage Road, Cambridge CB3 0FS, UK. Cambridge Young Adult Hip Service, Addenbrooke's-Cambridge University Hospitals, Box 37, Hills Road, Cambridge CB2 0QQ, UK. Cavendish Laboratory, University of Cambridge, JJ Thomson Avenue, Cambridge CB3 0HE, UK. Living Systems Institute, University of Exeter, Stocker Road, Exeter EX4 4QD, UK. College of Engineering, Mathematics and Physical Sciences, Harrison Building, University of Exeter, North Park Road, Exeter EX4 4QF, UK.",Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Passaro, Diana; Garcia-Albornoz, Manuel; Diana, Giovanni; Chakravarty, Probir; Ariza-McNaughton, Linda; Batsivari, Antoniana; Borr{\`a}s-Eroles, Clara; Abarrategi, Ander; Waclawiczek, Alexander; Ombrato, Luigi; Malanchi, Ilaria; Gribben, John; Bonnet, Dominique",Integrated OMICs unveil the bone-marrow microenvironment in human leukemia,Cell Rep.,,2021,,,,free_access,Elsevier,2021,,,http://dx.doi.org/10.1016/j.celrep.2021.109119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Dance DAB,Wuthiekanun V,Baird RW,Norton R,Limmathurotsakul D,Currie BJ",Interpreting Burkholderia pseudomallei disc diffusion susceptibility test results by the EUCAST method,Clin. Microbiol. Infect.,Clinical microbiology and infection: the official publication of the European Society of Clinical Microbiology and Infectious Diseases,2021,27,6,827-829,free_access;All_Rights_Reserved,Elsevier,2021-06,1198-743X,1469-0691,http://dx.doi.org/10.1016/j.cmi.2021.02.017;https://www.ncbi.nlm.nih.gov/pubmed/33636339;https://linkinghub.elsevier.com/retrieve/pii/S1198-743X(21)00098-7;https://www.clinicalmicrobiologyandinfection.com/article/S1198-743X(21)00098-7/abstract,10.1016/j.cmi.2021.02.017,33636339,,,,"Lao-Oxford-Mahosot Hospital-Wellcome Trust Research Unit, Vientiane, Laos; Centre for Tropical Medicine and Global Health, Nuffield Department of Medicine, University of Oxford, Oxford, UK; Faculty of Infectious and Tropical Diseases, London School of Hygiene and Tropical Medicine, London, UK. Electronic address: david.d@tropmedres.ac. Mahidol-Oxford Tropical Medicine Research Unit, Faculty of Tropical Medicine, Mahidol University, Bangkok, Thailand. Royal Darwin Hospital, Darwin, Australia. Townsville Hospital, Townsville, Australia. Centre for Tropical Medicine and Global Health, Nuffield Department of Medicine, University of Oxford, Oxford, UK; Mahidol-Oxford Tropical Medicine Research Unit, Faculty of Tropical Medicine, Mahidol University, Bangkok, Thailand. Royal Darwin Hospital, Darwin, Australia; Global and Tropical Health Division, Menzies School of Health Research, Charles Darwin University, Darwin, Australia.",Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Amoruso E,Kromm M,Spampinato D,et al.",Stimulating the deprived motor 'hand'area causes facial muscle responses in one-handers,Clinical Research in …,,2021,,,,free_access,Elsevier,2021,,,https://www.brainstimjrnl.com/article/S1935-861X(21)00027-9/abstract;https://www.brainstimjrnl.com/article/S1935-861X(21)00027-9/fulltext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Jia K,Zamboni E,Kemper V,Rua C,Goncalves NR,Ng AKT,Rodgers CT,Williams G,Goebel R,Kourtzi Z",Recurrent Processing Drives Perceptual Plasticity,Curr. Biol.,Current biology: CB,2020,30,21,4177-4187.e4,free_access,Elsevier,02/11/2020,0960-9822,1879-0445,http://dx.doi.org/10.1016/j.cub.2020.08.016;https://www.ncbi.nlm.nih.gov/pubmed/32888488;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7658806;https://linkinghub.elsevier.com/retrieve/pii/S0960-9822(20)31170-2;https://www.sciencedirect.com/science/article/pii/S0960982220311702,10.1016/j.cub.2020.08.016,32888488,,PMC7658806,,"Department of Psychology, University of Cambridge, Cambridge CB2 3EB, UK. Department of Cognitive Neuroscience, Faculty of Psychology and Neuroscience, Maastricht University, Maastricht 6229 ER, The Netherlands. Wolfson Brain Imaging Centre, Department of Clinical Neurosciences, University of Cambridge, Cambridge CB2 0QQ, UK. Department of Psychology, University of Cambridge, Cambridge CB2 3EB, UK; Department of Industrial and Manufacturing Systems Engineering, The University of Hong Kong, Hong Kong SAR, China. Department of Psychology, University of Cambridge, Cambridge CB2 3EB, UK. Electronic address: zk240@cam.ac.uk.",Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"An Y,Guo J,Ye Q,Childs C,Walsh J,Dong R",A gigabyte interpreted seismic dataset for automatic fault recognition,Data Brief,Data in brief,2021,37,,107219,free_access,Elsevier,2021-08,2352-3409,,http://dx.doi.org/10.1016/j.dib.2021.107219;https://www.ncbi.nlm.nih.gov/pubmed/34189207;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8220338;https://linkinghub.elsevier.com/retrieve/pii/S2352-3409(21)00503-5;https://www.sciencedirect.com/science/article/pii/S2352340921005035,10.1016/j.dib.2021.107219,34189207,,PMC8220338,,"The Insight Centre for Data Analytics, School of Computer Science, University College Dublin, Dublin, Ireland. C&C Reservoirs, Brunel House, Reading, United Kingdom. Key Laboratory of Tectonics and Petroleum Resources, Ministry of Education, China University of Geosciences, Wuhan 430074, China. Fault Analysis Group, School of Earth Sciences, University College Dublin, Dublin, Ireland. iCRAG (Irish Centre for Research in Applied Geosciences), Ireland.",Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Dave JA,Tamuhla T,Tiffin N,Levitt NS,Ross IL,Toet W,Davies MA,Boulle A,Coetzee A,Raubenheimer PJ","Risk factors for COVID-19 hospitalisation and death in people living with diabetes: A virtual cohort study from the Western Cape Province, South Africa",Diabetes Res. Clin. Pract.,Diabetes research and clinical practice,2021,177,,108925,free_access,Elsevier,2021-07,0168-8227,1872-8227,http://dx.doi.org/10.1016/j.diabres.2021.108925;https://www.ncbi.nlm.nih.gov/pubmed/34166703;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8215881;https://linkinghub.elsevier.com/retrieve/pii/S0168-8227(21)00285-0;https://www.sciencedirect.com/science/article/pii/S0168822721002850;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8215881/,10.1016/j.diabres.2021.108925,34166703,,PMC8215881,,"Division of Endocrinology, Department of Medicine, Groote Schuur Hospital and University of Cape Town, Anzio Road, Observatory, Cape Town, South Africa. Electronic address: joel.dave@uct.ac.za. Division of Computational Biology, Department of Integrative Biomedical Sciences, University of Cape Town, Anzio Road, Observatory, Cape Town, South Africa. Division of Computational Biology, Department of Integrative Biomedical Sciences, University of Cape Town, Anzio Road, Observatory, Cape Town, South Africa; Welcome Centre for Infectious Disease Research in Africa, Institute of Infectious Disease and Molecular Medicine, University of Cape Town, Anzio Road, Observatory, Cape Town, South Africa; Centre for Infectious Disease Epidemiology Research, School of Public Health and Family Medicine, University of Cape Town, Anzio Road, Observatory, Cape Town, South Africa; Provincial Health Data Centre, Health Impact Assessment Directorate, Western Cape Government Health, 5th Floor Norton Rose House, 8 Riebeek Street, Cape Town, South Africa. Electronic address: nicki.tiffin@uct.ac.za. Division of Endocrinology, Department of Medicine, Groote Schuur Hospital and University of Cape Town, Anzio Road, Observatory, Cape Town, South Africa. Centre for Infectious Disease Epidemiology Research, School of Public Health and Family Medicine, University of Cape Town, Anzio Road, Observatory, Cape Town, South Africa; Provincial Health Data Centre, Health Impact Assessment Directorate, Western Cape Government Health, 5th Floor Norton Rose House, 8 Riebeek Street, Cape Town, South Africa. Division of Endocrinology, Department of Medicine, Stellenbosch University Faculty of Health Sciences, Tygerberg Campus, Cape Town, South Africa. Department of Medicine, Groote Schuur Hospital and University of Cape Town, South Africa.",Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Qiu Q,Zhou J,Cheng Y,Zhou Y,Liang L,Cui P,Xue Y,Wang L,Wang K,Wang H,Li P,Chen J,Li Y,Turtle L,Yu H","Kinetics of the neutralising antibody response in patients with hand, foot, and mouth disease caused by EV-A71: A longitudinal cohort study in Zhengzhou during 2017-2019",EBioMedicine,EBioMedicine,2021,68,,103398,free_access,Elsevier,2021-06,2352-3964,,http://dx.doi.org/10.1016/j.ebiom.2021.103398;https://www.ncbi.nlm.nih.gov/pubmed/34049245;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8170117;https://linkinghub.elsevier.com/retrieve/pii/S2352-3964(21)00191-2;https://www.sciencedirect.com/science/article/pii/S2352396421001912,10.1016/j.ebiom.2021.103398,34049245,,PMC8170117,,"School of Public Health, Fudan University, Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China. Hospital Affiliated to Zhengzhou University, Henan Children's Hospital, Zhengzhou, China. West China School of Public Health and West China Fourth Hospital, Sichuan University, Chengdu, China. Division of Infectious Disease, Key Laboratory of Surveillance and Early-warning on Infectious Disease, Chinese Centre for Disease Control and Prevention, Beijing, China; WHO Collaborating Centre for Infectious Disease Epidemiology and Control, School of Public Health, Li Ka Shing Faculty of Medicine, The University of Hong Kong, Hong Kong Special Administrative Region, China. NIHR Health Protection Research Unit for Emerging and Zoonotic Infections, University of Liverpool, Liverpool, United Kingdom; Tropical & Infectious Disease Unit, Royal Liverpool University Hospital (member of Liverpool Health Partners), Liverpool, United Kingdom. School of Public Health, Fudan University, Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China; Department of infectious diseases, Huashan Hospital, Fudan University, Shanghai, China. Electronic address: yhj@fudan.edu.cn.",Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Brotherton H,Gai A,Kebbeh B,Njie Y,Walker G,Muhammad AK,Darboe S,Jallow M,Ceesay B,Samateh AL,Tann CJ,Cousens S,Roca A,Lawn JE",Impact of early kangaroo mother care versus standard care on survival of mild-moderately unstable neonates <2000 grams: A randomised controlled trial,EClinicalMedicine,EClinicalMedicine,2021,39,,101050,free_access,Elsevier,01/09/2021,2589-5370,,https://www.sciencedirect.com/science/article/pii/S2589537021003308;https://linkinghub.elsevier.com/retrieve/pii/S2589537021003308;http://dx.doi.org/10.1016/j.eclinm.2021.101050;https://www.ncbi.nlm.nih.gov/pubmed/34401686;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8358420,10.1016/j.eclinm.2021.101050,34401686,,PMC8358420,,"Department of Infectious Disease Epidemiology and MARCH Centre, London School of Hygiene and Tropical Medicine (LSHTM), Keppel Street, London, UK.; MRC Unit The Gambia at LSHTM, Atlantic Road, Fajara, Gambia.; MRC Unit The Gambia at LSHTM, Atlantic Road, Fajara, Gambia.; Department of Infectious Disease Epidemiology and MARCH Centre, London School of Hygiene and Tropical Medicine (LSHTM), Keppel Street, London, UK.; Ministry of Health, Gambia Government, Banjul, Gambia.; Department of Infectious Disease Epidemiology and MARCH Centre, London School of Hygiene and Tropical Medicine (LSHTM), Keppel Street, London, UK.; MRC/UVRI and LSHTM Uganda Research Unit, Nakiwogo Road, Entebbe, Uganda.; Neonatal Medicine, University College London Hospitals NHS Trust, Euston Rd, London, UK.",Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Gudmundsson E,Zhao A,Mogulkoc N,Stewart I,Jones MG,Van Moorsel CH,Savas R,Brereton CJ,Van Es HW,Unat O,Pontoppidan K,Van Beek F,Veltkamp M,Gholipour B,Nair A,Wells AU,Janes SM,Alexander DC,Jacob J",Pleuroparenchymal fibroelastosis in idiopathic pulmonary fibrosis: Survival analysis using visual and computer-based computed tomography assessment,EClinicalMedicine,,2021,,,101009,free_access,Elsevier,13/07/2021,2589-5370,,https://www.sciencedirect.com/science/article/pii/S2589537021002893;http://dx.doi.org/10.1016/j.eclinm.2021.101009,10.1016/j.eclinm.2021.101009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Tumas N,Rodríguez López S,Bilal U,Ortigoza AF,Diez Roux AV",Urban social determinants of non-communicable diseases risk factors in Argentina,Health Place,Health & place,2021,,,102611,free_access,Elsevier,29/06/2021,1353-8292,1873-2054,http://dx.doi.org/10.1016/j.healthplace.2021.102611;https://www.ncbi.nlm.nih.gov/pubmed/34210611;https://linkinghub.elsevier.com/retrieve/pii/S1353-8292(21)00107-6;https://www.sciencedirect.com/science/article/pii/S1353829221001076,10.1016/j.healthplace.2021.102611,34210611,,,,"Departament de Ciències Polítiques i Socials, Universitat Pompeu Fabra, Barcelona, Spain; Centro de Investigaciones y Estudios sobre Cultura y Sociedad, Consejo Nacional de Investigaciones Científicas y Técnicas y Universidad Nacional de Córdoba, Argentina. Electronic address: natalia.tumas@upf.edu. Centro de Investigaciones y Estudios sobre Cultura y Sociedad, Consejo Nacional de Investigaciones Científicas y Técnicas y Universidad Nacional de Córdoba, Argentina; Facultad de Ciencias Exactas, Físicas y Naturales, Universidad Nacional de Córdoba, Argentina. Electronic address: santiago.rodriguez@conicet.gov.ar. Urban Health Collaborative, Dornsife School of Public Health, Drexel University, Philadelphia, PA, USA; Department of Epidemiology and Biostatistics, Dornsife School of Public Health, Drexel University, Philadelphia, USA. Electronic address: ub45@drexel.edu. Urban Health Collaborative, Dornsife School of Public Health, Drexel University, Philadelphia, PA, USA. Electronic address: afo25@drexel.edu. Urban Health Collaborative, Dornsife School of Public Health, Drexel University, Philadelphia, PA, USA; Department of Epidemiology and Biostatistics, Dornsife School of Public Health, Drexel University, Philadelphia, USA. Electronic address: avd37@drexel.edu.",Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Zhou J,Barrett RA,Leen SB",A physically-based method for predicting high temperature fatigue crack initiation in P91 welded steel,Int. J. Fatigue,International journal of fatigue,2021,,106480,106480,gated,Elsevier,2021-08,0142-1123,1879-3452,http://dx.doi.org/10.1016/j.ijfatigue.2021.106480,10.1016/j.ijfatigue.2021.106480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Wright N,Newell K,Lam KBH,Kurmi O,Chen Z,Kartsonaki C",Estimating ambient air pollutant levels in Suzhou through the SPDE approach with R-INLA,Int. J. Hyg. Environ. Health,International journal of hygiene and environmental health,2021,235,,113766,free_access,Elsevier,2021-06,1438-4639,1618-131X,http://dx.doi.org/10.1016/j.ijheh.2021.113766;https://www.ncbi.nlm.nih.gov/pubmed/34044249;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8223501;https://linkinghub.elsevier.com/retrieve/pii/S1438-4639(21)00081-X;https://www.sciencedirect.com/science/article/pii/S143846392100081X,10.1016/j.ijheh.2021.113766,34044249,,PMC8223501,,"Clinical Trial Service Unit and Epidemiological Studies Unit, Nuffield Department of Population Health, University of Oxford, Oxford, United Kingdom. Electronic address: neil.wright@ndph.ox.ac.uk. Clinical Trial Service Unit and Epidemiological Studies Unit, Nuffield Department of Population Health, University of Oxford, Oxford, United Kingdom. Faculty Research Centre for Intelligent Healthcare, Coventry University, Coventry, United Kingdom. Clinical Trial Service Unit and Epidemiological Studies Unit, Nuffield Department of Population Health, University of Oxford, Oxford, United Kingdom; MRC Population Health Research Unit, University of Oxford, Oxford, United Kingdom.",Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Hamilton FW,Lee T,Arnold DT,Lilford R,Hemming K",Is convalescent plasma futile in COVID-19? A Bayesian re-analysis of the RECOVERY randomized controlled trial,Int. J. Infect. Dis.,International journal of infectious diseases: IJID: official publication of the International Society for Infectious Diseases,2021,109,,114-117,gated,Elsevier,19/06/2021,1201-9712,1878-3511,https://linkinghub.elsevier.com/retrieve/pii/S1201971221005233;http://dx.doi.org/10.1016/j.ijid.2021.06.034;https://www.ncbi.nlm.nih.gov/pubmed/34157385;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8214317;https://www.ncbi.nlm.nih.gov/pmc/articles/pmc8214317/;https://www.ncbi.nlm.nih.gov/pmc/articles/pmc8214317,10.1016/j.ijid.2021.06.034,34157385,,PMC8214317,http://creativecommons.org/licenses/by/4.0/,"MRC-IEU Integrative Epidemiology Unit, University of Bristol, Bristol, UK; Infection Science, North Bristol NHS Trust, Bristol, UK. Electronic address: Fergus.hamilton@bristol.ac.uk.; Clinical Practice Assessment Unit, Department of Medicine, McGill University, Montreal, Canada.; Academic Respiratory Unit, North Bristol NHS Trust, Bristol, UK.; Institute of Applied Health Research, University of Birmingham, Birmingham, UK.",Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Gapp, Katharina; Parada, Guillermo E.; Gross, Fridolin; Corcoba, Alberto; Kaur, Jasmine; Grau, Evelyn; Hemberg, Martin; Bohacek, Johannes; Miska, Eric A.",Single paternal dexamethasone challenge programs offspring metabolism and reveals multiple candidates in RNA-mediated inheritance,iScience,,2021,,,,free_access,Elsevier,2021,,,http://dx.doi.org/10.1016/j.isci.2021.102870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Vavouraki N,Tomkins JE,Kara E,Houlden H,Hardy J,Tindall MJ,Lewis PA,Manzoni C",Integrating protein networks and machine learning for disease stratification in the Hereditary Spastic Paraplegias,iScience,iScience,2021,24,5,102484,free_access,Elsevier,21/05/2021,2589-0042,,http://dx.doi.org/10.1016/j.isci.2021.102484;https://www.ncbi.nlm.nih.gov/pubmed/34113825;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8169945;https://linkinghub.elsevier.com/retrieve/pii/S2589-0042(21)00452-1;https://www.sciencedirect.com/science/article/pii/S2589004221004521,10.1016/j.isci.2021.102484,34113825,,PMC8169945,,"School of Pharmacy, University of Reading, Reading, RG6 6AX, UK. Department of Mathematics and Statistics, University of Reading, Reading, RG6 6AX, UK. Department of Neurodegenerative Disease, UCL Queen Square Institute of Neurology, London, WC1N 3BG, UK. Department of Neuromuscular Diseases, UCL Queen Square Institute of Neurology, London, WC1N 3BG, UK. UK Dementia Research Institute at UCL and Department of Neurodegenerative Disease, UCL IoN, UCL London, W1T 7NF UK. Reta Lila Weston Institute, UCL IoN, 1 Wakefield Street, London, WC1N 1PJ, UK. UCL Movement Disorders Centre, Department of Clinical and Movement Neurosciences, UCL Queen Square Institute of Neurology, London, WC1N 3BG, UK. Institute for Advanced Study, The Hong Kong University of Science and Technology, Hong Kong SAR, China. Aligning Science Across Parkinson's (ASAP) Collaborative Research Network, Chevy Chase, MD 20815, USA. Institute of Cardiovascular and Metabolic Research, University of Reading, Reading, RG6 6AS, UK. Department of Comparative Biomedical Sciences, Royal Veterinary College, London, NW1 0TU, UK. School of Pharmacy, University College London, London, WC1N 1AX, UK.",Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Mansh MD,Mulick A,Langan SM",The Impact of Psoriasis and Sexual Orientation on Mental and Physical Health Among Adults in the United States,J. Am. Acad. Dermatol.,Journal of the American Academy of Dermatology,2021,,,,gated,Elsevier,06/08/2021,0190-9622,1097-6787,http://dx.doi.org/10.1016/j.jaad.2021.07.066;https://www.ncbi.nlm.nih.gov/pubmed/34371093;https://linkinghub.elsevier.com/retrieve/pii/S0190-9622(21)02276-3;https://www.sciencedirect.com/science/article/pii/S0190962221022763,10.1016/j.jaad.2021.07.066,34371093,,,,"Department of Dermatology, University of Minnesota, Minneapolis, Minnesota. Electronic address: mansh@umn.edu. London School of Hygiene and Tropical Medicine, London, United Kingdom. London School of Hygiene and Tropical Medicine, London, United Kingdom; St. John's Institute of Dermatology, London, United Kingdom.",Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Brewitz, Lennart; Nakashima, Yu; Tumber, Anthony; Salah, Eidarus; Schofield, Christopher J.","Fluorinated derivatives of pyridine-2,4-dicarboxylate are potent inhibitors of human 2-oxoglutarate dependent oxygenases",J. Fluor. Chem.,,2021,,,,free_access,Elsevier,2021,,,http://dx.doi.org/10.1016/j.jfluchem.2021.109804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Stockdale AJ,Fyles F,Farrell C,Lewis J,Barr D,Haigh K,Abouyannis M,Hankinson B,Penha D,Fernando R,Wiles R,Sharma S,Santamaria N,Chindambaram V,Probert C,Ahmed MS,Cruise J,Fordham I,Hicks R,Maxwell A,Moody N,Paterson T,Stott K,Wu MS,Beadsworth M,Todd S,Joekes E",Sensitivity of SARS-CoV-2 RNA polymerase chain reaction using a clinical and radiological reference standard,J. Infect.,The Journal of infection,2021,82,6,260-268,free_access,Elsevier,2021-06,0163-4453,1532-2742,http://dx.doi.org/10.1016/j.jinf.2021.04.012;https://www.ncbi.nlm.nih.gov/pubmed/33892014;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8057690;https://linkinghub.elsevier.com/retrieve/pii/S0163-4453(21)00198-5;https://www.sciencedirect.com/science/article/pii/S0163445321001985;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8057690/,10.1016/j.jinf.2021.04.012,33892014,,PMC8057690,,"Tropical and Infectious Diseases Unit, Liverpool University Hospitals NHS Foundation Trust, United Kingdom; Institute of Infection, Veterinary and Ecological Sciences, University of Liverpool, United Kingdom. Electronic address: a.stockdale@liverpool.ac.uk. Tropical and Infectious Diseases Unit, Liverpool University Hospitals NHS Foundation Trust, United Kingdom. Department of Radiology, Liverpool University Hospitals NHS Foundation Trust, United Kingdom. Tropical and Infectious Diseases Unit, Liverpool University Hospitals NHS Foundation Trust, United Kingdom; Institute of Infection, Veterinary and Ecological Sciences, University of Liverpool, United Kingdom. Tropical and Infectious Diseases Unit, Liverpool University Hospitals NHS Foundation Trust, United Kingdom; Institute of Systems, Molecular and Integrative Biology, University of Liverpool, United Kingdom.",Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Riachi M,Polubothu S,Stadnik P,Connor H,Barberan Martin S,Charman CR,Cheng IL,Gholam K,Ogunbiyi O,Paige DG,Sebire NJ,Pittman A,Di WL,Kinsler VA",Molecular genetic dissection of inflammatory linear verrucous epidermal naevus leads to successful targeted therapy,J. Invest. Dermatol.,The Journal of investigative dermatology,2021,,,,free_access;Wiki-figures,Elsevier,08/06/2021,0022-202X,1523-1747,http://dx.doi.org/10.1016/j.jid.2021.02.765;https://www.ncbi.nlm.nih.gov/pubmed/34116062;https://linkinghub.elsevier.com/retrieve/pii/S0022-202X(21)01320-8;http://openaccess.sgul.ac.uk/id/eprint/113344/;http://openaccess.sgul.ac.uk/id/eprint/113344/6/1-s2.0-S0022202X21013208-main.pdf,10.1016/j.jid.2021.02.765,34116062,,,,"Genetics and Genomic Medicine, UCL GOS Institute of Child Health, London; Mosaicism and Precision Medicine Laboratory, The Francis Crick Institute, London. Genetics and Genomic Medicine, UCL GOS Institute of Child Health, London; Mosaicism and Precision Medicine Laboratory, The Francis Crick Institute, London; Paediatric Dermatology, Great Ormond St Hospital for Children, London. Genetics and Genomic Medicine, UCL GOS Institute of Child Health, London. Dermatology, Royal Devon and Exeter Hospital, Exeter, UK. Pharmacy, Great Ormond St Hospital for Children, London, UK. Paediatric Dermatology, Great Ormond St Hospital for Children, London. Paediatric Pathology, Great Ormond St Hospital for Children, London, UK. Dermatology, Royal London Hospital, London, UK. Bioinformatics, St George's University of London, London, UK. Infection, Immunity and Inflammation Programme, Immunobiology Section, UCL GOS Institute of Child Health, London, United Kingdom. Genetics and Genomic Medicine, UCL GOS Institute of Child Health, London; Mosaicism and Precision Medicine Laboratory, The Francis Crick Institute, London; Paediatric Dermatology, Great Ormond St Hospital for Children, London. Electronic address: veronica.kinsler@crick.ac.uk.",Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Spigel DR,Peters S,Ahn MJ,Tsuboi M,Chaft J,Harpole D,Barlesi F,Abbosh C,Mann H,May R,Dennis PA,Swanton C","93TiP MERMAID-2: Phase III study of durvalumab in patients with resected, stage II-III NSCLC who become MRD+ after curative-intent therapy",J. Thorac. Oncol.,Journal of thoracic oncology: official publication of the International Association for the Study of Lung Cancer,2021,16,4,S745-S746,gated,Elsevier,01/04/2021,1556-0864,,https://doi.org/10.1016/S1556-0864(21)01935-3;http://dx.doi.org/10.1016/S1556-0864(21)01935-3;https://www.jto.org/article/S1556-0864(21)01935-3/abstract,10.1016/S1556-0864(21)01935-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Lukacevic M,Autengruber M,Raimer T,Eberhardsteiner J,Füssl J","Effect of cast-in-place concrete application on moisture distribution in timber-concrete composite floors with notched connections, investigated via finite element simulations",Journal of Building Engineering,,2021,42,,103005,free_access,Elsevier,01/10/2021,2352-7102,,https://www.sciencedirect.com/science/article/pii/S2352710221008639;http://dx.doi.org/10.1016/j.jobe.2021.103005,10.1016/j.jobe.2021.103005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Obeidi MA,Monu M,Hughes C,Bourke D,Dogu MN,Francis J,Zhang M,Ahad IU,Brabazon D",Laser beam powder bed fusion of nitinol shape memory alloy (SMA),Journal of Materials Research and Technology,,2021,,,,free_access,Elsevier,31/07/2021,2238-7854,,https://www.sciencedirect.com/science/article/pii/S2238785421007894;http://dx.doi.org/10.1016/j.jmrt.2021.07.126,10.1016/j.jmrt.2021.07.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
